place_code,country_code,active,latin_name
GB40,GBR,false,Derby
GB41,GBR,false,Hereford
GB42,GBR,false,Leicestershire
GB43,GBR,false,Nottinghamshire
GB44,GBR,false,Shropshire
GB45,GBR,false,Staffordshire
GB46,GBR,false,Warwickshire
GB47,GBR,false,Worcestershire
GB50,GBR,false,Cheshire
GB51,GBR,false,Cumberland
GB52,GBR,false,Durham
GB53,GBR,false,Isle of Man
GB54,GBR,false,"Lancashire, north"
GB55,GBR,false,"Lancashire, south"
GB56,GBR,false,Northumberland
GB57,GBR,false,Westmorland
GB58,GBR,false,Yorkshire
GB59,GBR,false,Yorkshire
GB60,GBR,false,Anglesey
GB61,GBR,false,Brecon and Radnor
GB62,GBR,false,Caernarvonshire
GB63,GBR,false,Cardigan
GB64,GBR,false,Carmarthen
GB65,GBR,false,Denbigh & Flint
GB66,GBR,false,Glamorgan
GB67,GBR,false,Merioneth
GB68,GBR,false,Montgomery
GB69,GBR,false,Pembroke
GB70,GBR,false,Ayrshire
GB71,GBR,false,Berwickshire
GB72,GBR,false,Dumfriesshire
GB73,GBR,false,Kirkcudbrightshire
GB74,GBR,false,Lanarkshire
GB75,GBR,false,Lothians
GB76,GBR,false,Peebles & Selkirk
GB77,GBR,false,Renfrew
GB78,GBR,false,Roxburgh
GB79,GBR,false,Wigtownshire
GB80,GBR,false,Aberdeenshire
GB81,GBR,false,Angus
GB82,GBR,false,Banffshire
GB83,GBR,false,Clackmannan & Kinross
GB84,GBR,false,Dunbartonshire
GB85,GBR,false,Fife
GB86,GBR,false,Kincardine
GB87,GBR,false,Moray & Nairn
GB88,GBR,false,Perth
GB89,GBR,false,Stirling
GB90,GBR,false,Argyll
GB91,GBR,false,Bute
